City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,pontes e lacerda,8,BR,1543290283,89,-15.23,-59.33,73.61,2.59
88,puerto ayora,64,EC,1543290286,100,-0.74,-90.35,71.45,12.21
89,sao filipe,0,CV,1543290287,95,14.9,-24.5,75.59,15.01
90,catuday,0,PH,1543290287,94,16.29,119.81,83.24,5.28
91,caliling,0,PH,1543290287,100,9.98,122.48,82.61,17.25
92,puerto del rosario,64,ES,1543289400,82,28.5,-13.86,66.2,8.05
93,jinxiang,68,CN,1543290288,42,35.07,116.31,50.03,14.56
94,geraldton,75,CA,1543287600,84,49.72,-86.95,8.6,4.7
95,champerico,40,MX,1543287000,73,16.38,-93.6,71.6,23.04
96,margate,75,AU,1543287600,72,-43.03,147.26,60.8,11.41
97,goderich,92,CA,1543290289,100,43.74,-81.71,36.35,22.5
98,shu,88,KZ,1543290289,91,43.6,73.76,29.19,3.38
99,hofn,64,IS,1543290289,100,64.25,-15.21,36.44,8.08
100,ponta do sol,76,BR,1543290290,96,-20.63,-46.0,63.12,9.42
101,yakeshi,56,CN,1543290290,36,49.28,120.73,10.88,24.74
102,sitka,0,US,1543290291,69,37.17,-99.65,26.49,4.16
103,redmond,90,US,1543288560,96,47.67,-122.12,55.4,6.93
104,surt,0,LY,1543290292,100,31.21,16.59,58.44,14.45
105,kaitong,0,CN,1543290292,36,44.81,123.15,26.67,21.72
106,hermanus,88,ZA,1543290292,100,-34.42,19.24,54.12,4.16
107,ancud,0,CL,1543290292,76,-41.87,-73.83,49.17,5.61
108,chokurdakh,68,RU,1543290293,54,70.62,147.9,-10.01,6.73
109,dikson,32,RU,1543290293,98,73.51,80.55,-2.27,6.17
110,kutum,0,SD,1543290294,41,14.2,24.66,47.64,7.4
111,urucui,92,BR,1543290294,95,-7.23,-44.56,72.44,7.63
112,thompson,5,CA,1543287600,77,55.74,-97.86,-0.41,5.82
113,galesong,20,ID,1543287600,74,-5.32,119.37,87.8,5.82
114,palmer,75,AU,1543287600,77,-34.85,139.16,60.8,13.87
115,ardakan,0,IR,1543287600,81,32.31,54.02,42.8,4.7
116,kununurra,0,AU,1543287600,39,-15.77,128.74,100.4,4.7
117,sioux lookout,90,CA,1543288320,78,50.1,-91.92,10.4,10.29
